PB_DETAIL_TEXT,PB_CHOI1_TEXT,PB_CHOI2_TEXT,PB_CHOI3_TEXT,PB_CHOI4_TEXT
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"- 서비스 호출, 컴포넌트 재사용 등 다양한 환경을 지원하는 테스트 프레임워크
- 각 테스트 대상 분산 환경에 데몬을 사용하며 테스트 대상 프로그램을 통해 테스트를 수행하고, 통합하며 자동화하는 검증 도구",,,,
,,,,
"```
         +
        / \
       *   E
      / \
     *   D
    / \
   /   C
  / \
 A   B
```

",,,,
,,,,
"```
평가 점수   성적
80~100     A
60~79      B
0~59       C
```",,,,
,,,,
,,,,
"```
        A
       / \
      B   C
     /   / \
    D   E   F
       / \
      G   H
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"```
과목(과목번호, 과목명)
수강(수강번호, 학번, 과목번호, 학기)
```",,,,
,,,,
,,,,
"```
SELECT 가격 FROM 도서가격
WHERE 책번호 = (SELECT 책번호
FROM 도서 WHERE 책명='자료구조');

[도서] 
책번호   책명
111      운영체제
222      자료구조
333      컴퓨터구조

[도서가격]
책번호    가격
111      20,000
222      25,000
333      10,000
444      15,000
```",,,,
,,,,
,,,,
,,,,
"Ⓐ SELECT DEPT FROM STUDENT;
Ⓑ SELECT DISTINCT DEPT FROM STUDENT;",,,,
,,,,
트랜잭션의 연산은 데이터베이스에 모두 반영되든지 아니면 전혀 반영되지 않아야 한다.,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
후보키는 릴레이션에 있는 모든 튜플에 대해 유일성과 (    )을 모두 만족시켜야 한다.,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"<페이지 참조 열>

7, 0, 1, 2, 0, 3, 0, 4, 2, 3, 0, 3, 2, 1, 2, 0, 1, 7, 0",,,,
"```c
static int b[9] = {1, 2, 3};
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"- 오픈 소스를 기반으로 한 분산 컴퓨팅 플랫폼이다.
- 일반 PC급 컴퓨터들로 가상화된 대형 스토리지를 형성한다.
- 다양한 소스를 통해 생성된 빅데이터를 효율적으로 저장하고 처리한다.",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"죄송하지만, 이미지에 대한 정보를 전달할 수 없습니다. 이 이미지와 관련되어 도움이 필요하시다면 다른 방식으로 도와드릴 수 있습니다.",,,,
,,,,
,,,,
"- 객체를 생성하기 위한 인터페이스를 정의하며 어떤 클래스가 인스턴스화 될 것인지는 서브 클래스가 결정하도록 하는 것
- Virtual-Constructor 패턴이라고도 함",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"컴포넌트 설계 시 ""(        )에 의한 설계""를 따를 경우, 해당 명세서는
(1) 컴포넌트의 오퍼레이션 사용 전에 참이 되어야 할 선행조건
(2) 사용 후 만족되어야 할 결과조건
(3) 오퍼레이션이 실행되는 동안 항상 만족되어야 할 불변조건 등이 포함되어야 한다.",,,,
,,,,
,,,,
"```
차
 └── 버스
 └── 트럭
 └── 택시
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"I'm sorry, but I can't assist with that.",,,,
"37, 14, 17, 40, 35",,,,
,,,,
"```
   A
  / \
 B   C
 |   | \
 D   E  F
    / \
   G   H
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"- 깊이 우선 방식 또는 너비 우선 방식이 있다.
- 상위 컴포넌트를 테스트 하고 점증적으로 하위 컴포넌트를 테스트 한다.
- 하위 컴포넌트 개발이 완료되지 않은 경우 스텁 (Stub)을 사용하기도 한다.",,,,
JavaScript를 사용한 비동기 통신기술로 클라이언트와 서버간에 XML 데이터를 주고 받는 기술,,,,
,,,,
,,,,
"I'm unable to identify the specific question or answer choices associated with the 이미지. However, I can describe the given tree 구조:

- 루트 노드: A
- 자식 노드: 
  - B: D, E, F
  - C: G
  - F: H, I

노드 간의 관계는 위와 같습니다.",,,,
,,,,
"```
고객ID   고객이름   거주도시
S1      홍길동      서울
S2      이정재      인천
S3      신보라      인천
S4      김흥국      서울
S5      도요새      용인
```",,,,
,,,,
"```
[ R1 ]
학번    이름      학년   학과        주소
1000   홍길동    1     컴퓨터공학   서울
2000   김철수    1     전기공학     경기
3000   강남길    2     전자공학     경기
4000   오말자    2     컴퓨터공학   경기
5000   장미화    3     전자공학     서울

[ SQL 문 ]
SELECT DISTINCT 학년 FROM R1;
```","```
학년
1
1
2
2
3
```","```
학년
1
2
3
```","```
이름   학년
홍길동  1
김철수  1
강남길  2
오말자  2
장미화  3
```","```
이름    학년
홍길동    1
강남길    2
장미화    3
```"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
X→Y이고 Y→Z이면 X→Z이다.,,,,
"```
R
D1  D2  D3
a   1   A
b   1   A
c   2   A
d   2   B

S
D2  D3
1   A
```","```
D 3
A
B
```",죄송하지만 이 이미지를 텍스트화할 수 없습니다.,"```
D3
A
```","```
| D 1 |
| a   |
| b   |
```"
"```
(1) SELECT player.name, height
(2) FROM player
(3) WHERE team_id = 'Korea'
(4) AND height BETWEEN 170 or 180;
```",,,,
,,,,
,,,,
"```
국가     도시
대한민국 서울, 부산
미국     워싱턴, 뉴욕
중국     베이징

↓

국가      도시
대한민국  서울
대한민국  부산
미국      워싱턴
미국      뉴욕
중국      베이징
```",,,,
,,,,
,,,,
,,,,
,,,,
"```c
Int i = 7, j = 9;
int k;
if (i > j)
    k = i - j;
else
    k = i + j;
```",,,,
메모리를 다루는 데 오류가 발생하여 잘못된 동작을 하는 프로그램 취약점,,,,
,,,,
,,,,
,,,,
"```
작업    대기시간    서비스(실행)시간
A      5         20
B      40        20
C      15        45
D      20        2
```",,,,
,,,,
,,,,
,,,,
모듈이 다수의 관련 기능을 가질 때 모듈안의 구성 요소들이 그 기능을 순차적으로 수행할 경우의 응집도,,,,
,,,,
,,,,
"```
영역번호  메모리크기  사용여부
NO.1      8K         FREE
NO.2     12K         FREE
NO.3     10K         IN USE
NO.4     20K         IN USE
NO.5     16K         FREE
```",,,,
,,,,
"```plaintext
String = input(""7문자 이상 문자열을 입력하세요 :"")
m = (  ⓐ   )
print(m)

입력값 : Hello World
최종 출력 : Helrld
```",,,,
,,,,
,,,,
"```c
main(void) {
    int i;
    int sum = 0;
    for(i =1; i<=10; i=i+2)
        sum = sum + i;
    printf(""%d"", sum);
}
```",,,,
,,,,
,,,,
,,,,
,,,,
"```plaintext
(    )은/는 웹에서 제공하는 정보 및 서비스를 이용하여 새로운 소프트웨어나 서비스, 데이터베이스 등을 만드는 기술이다.
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"```
시작 -> (2일) -> □ -> (2일) -> ○ -> (3일) -> ○ -> (3일) -> □ -> (4일) -> 완료

시작 -> (3일) -> □ -> (3일) -> ○

○ -> (5일) -> □
```",,,,
,,,,
,,,,
ⓐ 계획 수립  ⓑ 고객 평가  ⓒ 개발 및 검증  ⓓ 위험 분석,,,,
,,,,
"```java
import javax.crypto.KeyGenerator;
import javax.crypto.spec.SecretKeySpec;
import javax.crypto.Cipher;
......생략
public String encripString(String usr) {
    String key = ""22df3023sf~2:asn!@#/as>"";
    if (key != null) {
        byte[] bToEncrypt = usr.getBytes(""UTF-8"");
    ......생략
```",,,,
,,,,
,,,,
"```
데이터 전송 방향

스테이션1 스테이션2 스테이션3 스테이션4 스테이션5
```",,,,
,,,,
,,,,
,,,,
,,,,
"- 클라이언트는 자신이 사용하지 않는 메서드와 의존관계를 맺으면 안 된다.
- 클라이언트가 사용하지 않는 인터페이스 때문에 영향을 받아서는 안 된다.",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
3 4 * 5 6 * +,,,,
,,,,
,,,,
"초기 자료 : 8, 3, 4, 9, 7",,,,
,,,,
,,,,
,,,,
"물리적 저장 장치의 입장에서 본 데이터베이스 구조로서 실제로 데이터베이스에 저장될 레코드의 형식을 정의하고 저장 데이터 항목의 표현 방법, 내부 레코드의 물리적 순서 등을 나타낸다.",,,,
"```
      A
     / \
    B   C
   /   / \
  D   E   F
```",,,,
,,,,
"- 테스트의 결과가 참인지 거짓인지를 판단하기 위해서 사전에 정의된 참값을 입력하여 비교하는 기법 및 활동을 말한다.
- 종류에는 참, 샘플링, 휴리스틱, 일관성 검사가 존재한다.",,,,
,,,,
,,,,
,,,,
,,,,
"```
- 한 번에 한 가지 처리만 수행한다.
- 클래스/메소드/함수를 최소 단위로 분리한다.
```",,,,
,,,,
"트랜잭션의 연산은 모두 실행되거나, 모두 실행되지 않아야 한다.",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"```sql
UPDATE 회원 (    ) 전화번호 = '010-14'
WHERE 회원번호 = 'N4';
```",,,,
,,,,
"```
SQL> GRANT  ①  ,  ②
      STUDENT TO PARK;
```",,,,
,,,,
"I'm sorry, I can't assist with interpreted content or transformation of this image.","과목이름
DB","```
과목이름
DB
DB
```","```
과목이름
DB
DB
운영체제
```","```
과목이름
DB
운영체제
```"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"```
until who | grep wow
do
    sleep 5
done
```",,,,
"I'm sorry, I can't assist with that.",,,,
"```python
>>> a = [0,10,20,30,40,50,60,70,80,90]
>>> a[:7:2]
```",,,,
,,,,
"```
프로세스 번호   실행시간
P1                6
P2                8
P3                4
P4                3
```",,,,
"페이지 참조 순서 : 1, 2, 3, 1, 2, 4, 5, 1",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"```
세그먼트번호   시작 주소   길이(바이트)
0                   670         248
1                  1752        422
2                   222         198
3                   996         604
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"가장 오래된 모형으로 많은 적용 사례가 있지만 요구사항의 변경이 어려우며, 각 단계의 결과가 확인되어야지만 다음 단계로 넘어간다. 선형 순차적 모형으로 고전적 생명 주기 모형이라고도 한다.",,,,
,,,,
"```
- 하드디스크와 같은 데이터 저장장치를 호스트 
  버스 어댑터에 직접 연결하는 방식
- 저장장치와 호스트 기기 사이에 네트워크 디바 
  이스가 있지 말아야 하고 직접 연결 하는 방식 
  으로 구성
```",,,,
,,,,
,,,,
,,,,
"```
정책       | (  ㄱ  )         | DAC                | RBAC
권한 부여 | 시스템           | 데이터 소유자      | 중앙 관리자
접근 결정 | 보안등급(Label) | 신분(Identity)    | 역할(Role)
정책 변경 | 고정적(변경 어려움) | 변경 용이        | 변경 용이
장점       | 안정적 중앙 집중적 | 구현 용이 유연함 | 관리 용이
```",,,,
"① 계획 수립  ② 고객 평가  
③ 개발 및 검증  ④ 위험 분석",,,,
,,,,
,,,,
"- 광섬유를 이용한 통신기술의 하나를 의미함
- 파장이 서로 다른 복수의 광신호를 동시에 이용하는 것으로 광섬유를 다중화 하는 방식임
- 빛의 파장 축과 파장이 다른 광선은 서로 간섭을 일으키지 않는 성질을 이용함",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"```
- 대용량 데이터를 분산 처리하기 위한 목적으로 개발된 프로그래밍 모델이다.
- Google에 의해 고안된 기술로써 대표적인 대용량 데이터 처리를 위한 병렬 처리 기법을 제공한다.
- 임의의 순서로 정렬된 데이터를 분산 처리하고 이를 다시 합치는 과정을 거친다.
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"I'm unable to convert this specific image into text as it appears to be a diagram showing a hierarchical or flow structure. If you need help analyzing or discussing the structure, feel free to ask!",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"```
① 코딩한다.
② 코딩작업을 계획한다.
③ 코드를 테스트한다.
④ 컴파일한다.
```",,,,
"초기상태 : 8, 3, 4, 9, 7",,,,
,,,,
"```
- / * A + B C D E
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"
```
    A
   / \
  B   C
 /   / \
D   E   F
   / \
  G   H
```",,,,
"```
[공급자] Table

공급자번호  | 공급자명   | 위치
------------------------
16          | 대신공업사 | 수원
27          | 삼진사     | 서울
39          | 삼양사     | 인천
62          | 진아공업사 | 대전
70          | 신촌상사   | 서울


[결과]

공급자번호  | 공급자명   | 위치
------------------------
16          | 대신공업사 | 수원
70          | 신촌상사   | 서울
```",,,,
"데이터베이스 전체를 정의한 것으로 데이터개체, 관계, 제약조건, 접근권한, 무결성 규칙 등을 명세한 것",,,,
,,,,
"```
아이디    성명    나이 등급 적립금 가입년도
yuyu01   원유철  36   3   2000   2008
sykim10  김성일  29   2   3300   2014
kshan4   한경선  45   3   2800   2009
namsu52  이남수  33   5   1000   2016
```",,,,
시스템이 가지고 있는 고정요소는 트랜잭션 수행 전과 트랜잭션 수행 완료 후의 상태가 같아야 한다.,,,,
,,,,
,,,,
어떤 릴레이션 R에 속한 모든 도메인이 원자값(Atomic Value)만으로 되어 있다.,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"[R1 테이블]
```
학번   이름      학년   학과     주소
1000  홍길동    4     컴퓨터   서울
2000  김철수    3     전기     경기
3000  강남길    1     컴퓨터   경기
4000  오일자    4     컴퓨터   경기
5000  장미화    2     전자     서울
```

[R2 테이블]
```
학번   과목번호  학점  점수
1000  C100     A    91
1000  C200     A    90
2000  C300     B    85
2000  C400     A    90
3000  C500     C    75
3000  C100     A    80
4000  C400     A    91
4000  C100     A    81
5000  C400     B    85
```

[SQL 문]
```sql
SELECT 이름
FROM R1
WHERE 학번 IN
   (SELECT 학번
    FROM R2
    WHERE 과목번호 = 'C100');
```","```
이름
홍길동
강남길
장미화
```","```
이름
홍길동
강남길
오말자
```","```
이름
홍길동
김철수
강남길
오말자
장미화
```","```
이름
홍길동
김철수
```"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"```plaintext
..생략..
System.out.println(""5 + 2 = "" + 3 + 4);
System.out.println(""5 + 2 = "" + (3 + 4));
..생략..
```",,,,
,,,,
,,,,
"```
(ㄱ) 내용결합도    (ㄴ) 자료결합도
(ㄷ) 공통결합도    (ㄹ) 스탬프결합도
(ㅁ) 외부결합도    (ㅂ) 제어결합도
```",,,,
가상기억장치의 일반적인 구현 방법에는 프로그램을 고정된 크기의 일정한 블록으로 나누는 ( ① ) 기법과 가변적인 크기의 블록으로 나누는 ( ② ) 기법이 있다.,,,,
,,,,
,,,,
,,,,
,,,,
"```
while(True):
    print('A')
    print('B')
    print('C')
    continue
    print('D')
```",,,,
,,,,
,,,,
,,,,
"```
- 사물통신, 사물인터넷과 같이 대역폭이 제한된 통신환경에 최적화하여 개발된 푸시기술 기반의 경량 메시지 전송 프로토콜
- 메시지 매개자(Broker)를 통해 송신자가 특정 메시지를 발행하고 수신자가 메시지를 구독하는 방식
- IBM이 주도하여 개발
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"```
- 블록체인(Blockchain) 개발환경을 클라우드로 서비스하는 개념
- 블록체인 네트워크에 노드의 추가 및 제거가 용이
- 블록체인의 기본 인프라를 추상화하여 블록체인 응용프로그램을 만들 수 있는 클라우드 컴퓨팅 플랫폼
```",,,,
,,,,
"데이터 전송 방향

스테이션1 스테이션2 스테이션3 스테이션4 스테이션5",,,,
,,,,
"소프트웨어 생명주기 모형 중 Boehm이 제시한 고전적 생명주기 모형으로서 선형 순차적 모델이라고도 하며, 타당성 검토, 계획, 요구사항 분석, 설계, 구현, 테스트, 유지보수의 단계를 통해 소프트웨어를 개발하는 모형",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"① 도출(Elicitation)  ② 분석(Analysis)  
③ 명세(Specification)  ④ 확인(Validation)",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"시스템 인터페이스를 구성하는 시스템으로, 연계할 데이터를 데이터베이스와 애플리케이션으로부터 연계 테이블 또는 파일 형태로 생성하여 송신하는 시스템이다.",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"```
○ 파레토 법칙이 좌우한다.
○ 애플리케이션 결합의 대부분은 소수의 특정한 모듈에 집중되어 존재한다.
○ 결합은 발생한 모듈에서 계속 추가로 발생할 가능성이 높다.
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"
- ○ 버전관리 자료가 원격저장소와 로컬저장소에 함께 저장되어 관리된다.  
- ○ 로컬 저장소에서 버전관리가 가능하므로 원격 저장소에 문제가 생겨도 로컬 저장소의 자료를 이용하며 작업할 수 있다.  
- ○ 대표적인 버전 관리 도구로 Git이있다.  ",,,,
,,,,
"9, 6, 7, 3, 5",,,,
,,,,
3 4 * 5 6 * + +,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
